,Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
0,20 Microns Ltd.,41.1,57.45,45.2,37.15,46.8,53.65,62.35,80.4,85.95,111.4,156.8,31.05,30.4,30.35,31.1,31.35,36.2,30.45,30.4,36.0,33.0,25.3,36.1,27.7,29.65,36.5,33.05,35.1,38.05,41.65,58.25,48.85,35.7,42.55,41.45,38.15,36.8,39.95,35.2,25.7,32.3,28.1,40.2,35.2,60.3,61.35,63.4,74.0,68.75,97.65,91.1,74.23,93.87,133.4,176.55,143.7,220.8,301.05,234.7,191.5,231.15,207.8,209.55
1,3B Blackbio Dx Ltd.,10.3,14.2,18.25,24.95,28.35,17.9,15.7,13.72,11.05,11.74,10.0,8.15,8.6,6.7,9.85,7.47,8.59,8.25,10.2,8.25,8.68,9.0,9.44,7.9,9.31,15.0,24.5,34.5,53.55,78.15,110.0,133.65,137.4,77.1,92.75,75.5,93.05,86.1,90.3,72.55,186.4,300.6,353.4,284.7,678.6,461.95,445.9,341.25,316.6,331.65,465.7,415.7,422.0,785.8,789.55,769.6,1121.0,1352.1,1978.65,1616.75,1454.05,1374.8,1325.2
2,3I Infotech Ltd.,60.45,60.15,59.75,43.8,46.2,26.3,11.7,15.5,9.83,8.03,8.8,5.6,4.82,6.27,7.99,7.77,10.94,8.04,9.51,5.85,5.42,3.18,4.85,4.16,5.09,5.74,5.63,5.05,4.27,3.83,8.05,5.03,4.32,3.33,3.64,3.84,3.29,2.03,1.99,1.32,2.76,3.37,6.51,7.44,9.9,8.56,94.6,51.35,41.65,43.9,40.75,27.46,33.77,40.39,49.18,39.47,36.48,32.11,28.07,21.13,25.03,21.55,20.5
3,3M India Ltd.,2772.7,3976.2,3621.4,3351.0,4190.45,4153.1,3516.75,3674.7,3885.25,4055.0,4076.2,3760.95,3490.0,3050.0,3630.0,3530.0,4508.45,6350.2,6470.75,7968.95,8308.8,10888.5,11407.4,10782.8,12844.8,12865.15,11155.3,11583.0,13209.2,14434.55,19165.25,19383.6,19629.7,22440.3,20850.8,24067.9,23244.3,20668.8,21347.1,18914.9,18793.2,18342.05,20837.35,30238.55,24348.85,24880.4,25333.1,19665.7,21869.85,24547.05,21945.25,23010.45,26985.4,31905.85,37205.65,31252.7,36823.4,33920.1,30421.15,28852.15,28522.75,29412.85,29506.2
4,3P Land Holdings Ltd.,25.3,27.1,25.0,18.9,20.25,17.0,15.15,16.1,12.74,14.36,12.6,9.0,6.45,5.78,7.09,8.85,12.57,11.4,9.01,12.14,12.02,12.38,20.89,9.86,9.99,9.96,11.79,10.9,10.8,12.66,11.4,13.2,12.01,12.42,11.55,10.23,8.9,6.63,5.33,3.01,4.18,7.0,11.11,8.51,13.0,13.89,15.63,14.5,14.59,17.05,17.0,20.42,18.8,24.11,26.96,27.48,38.13,37.8,59.05,37.36,50.42,43.4,43.17
5,52 Weeks Entertainment Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.55,0.0,0.0,2.94,8.38,20.9,57.2,149.0,134.5,0.0,0.0,124.0,205.6,254.45,269.0,233.0,160.3,95.0,38.0,10.26,4.11,3.58,1.47,1.11,1.42,0.73,0.19,0.44,0.28,0.0,0.56,0.8,0.85,1.5,2.42,3.34,2.85,2.1,2.02,2.01,1.65,1.32,1.3,1.48,1.61,1.62,1.52,1.98,1.57,1.57,1.5,1.43
6,63 Moons Technologies Ltd.,1336.2,1154.25,893.9,866.9,874.3,812.3,528.95,684.55,737.25,974.7,1129.55,711.4,777.95,141.1,185.4,373.35,252.2,223.5,203.0,191.75,152.5,111.7,116.2,77.6,86.2,80.4,71.75,75.5,62.65,77.95,118.75,87.1,77.8,69.35,98.85,80.95,111.5,125.1,101.7,46.9,76.05,68.25,81.05,69.4,91.3,92.75,228.95,268.25,166.95,161.25,168.4,175.05,244.2,281.05,472.9,382.15,367.6,387.9,903.85,810.55,1002.3,837.6,793.5
7,7Seas Entertainment Ltd.,0.0,57.85,60.05,44.25,41.35,41.75,36.95,36.5,34.0,27.5,16.6,12.97,10.5,8.5,8.17,7.02,10.96,13.11,10.44,8.47,7.45,16.9,21.8,15.41,14.55,14.94,0.0,0.0,0.0,0.0,0.0,12.46,8.5,6.65,5.0,9.16,8.5,7.84,7.11,6.97,0.0,0.0,0.0,0.0,9.87,16.6,25.15,23.2,19.35,17.65,18.4,16.93,27.06,27.8,30.3,38.07,57.49,70.21,76.3,73.22,67.69,91.65,83.96
8,A B B India Ltd.,862.15,920.95,792.25,797.25,876.1,692.5,583.6,841.55,800.8,797.75,700.4,489.2,610.85,543.9,692.8,849.95,1122.05,1147.3,1286.2,1257.0,1322.75,1057.9,1118.1,1276.5,1224.7,1134.7,1039.1,1279.65,1451.1,1396.05,1399.5,1286.6,1180.6,1402.55,1332.0,1319.85,1603.35,1521.0,1284.1,932.65,943.6,859.45,1212.15,1417.4,1806.05,1869.05,2234.85,2154.3,2296.25,3090.4,2683.15,3365.5,4421.25,4100.35,4673.95,6363.3,8492.6,8061.5,6913.95,5542.55,6076.95,5184.95,5176.4
9,A B Cotspin India Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,430.05,424.9
10,A B M International Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A B M Knowledgeware Ltd.,53.3,91.6,77.5,62.05,74.9,69.9,71.05,79.55,72.0,54.25,52.5,36.6,34.5,31.5,43.45,47.45,90.8,148.2,142.35,159.5,178.0,184.6,262.6,199.5,114.5,143.8,148.55,151.1,146.45,123.0,125.25,77.95,85.0,70.0,67.3,61.9,57.6,50.0,50.2,33.8,51.95,119.4,121.1,112.2,120.55,115.2,117.6,106.9,72.85,103.65,98.8,74.24,88.57,90.82,125.45,99.95,146.6,141.55,178.75,160.55,168.3,199.85,295.25
12,A C C Ltd.,874.5,990.75,1075.6,1075.2,949.25,1098.15,1136.35,1356.35,1267.55,1469.2,1429.4,1161.25,1223.45,1112.45,1108.2,1391.55,1468.05,1404.15,1399.4,1560.6,1440.65,1344.15,1359.55,1380.3,1613.65,1594.95,1328.4,1446.15,1567.95,1654.15,1757.9,1508.2,1338.3,1550.5,1504.8,1661.0,1561.65,1610.3,1444.65,967.5,1332.0,1393.85,1618.4,1902.55,2016.05,2254.5,2217.4,2151.75,2122.4,2408.55,2441.4,1666.75,1813.65,2013.1,2208.9,2490.7,2617.75,2512.7,2053.55,1943.1,1917.6,1825.85,1861.1
13,A C S Technologies Ltd.,22.55,22.25,29.0,31.75,29.7,9.95,9.39,8.39,8.23,6.29,8.79,6.45,6.65,5.64,6.8,5.2,4.52,4.0,3.11,2.07,3.37,3.35,2.79,2.95,3.7,4.38,4.19,3.58,2.51,2.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.78,33.53,37.14
14,A D F Foods Ltd.,81.3,87.2,68.1,58.5,66.8,56.8,51.7,50.3,48.35,48.6,80.35,44.85,46.8,42.9,51.3,44.9,60.5,69.75,70.0,58.3,64.35,93.15,92.8,83.0,91.5,125.2,140.45,173.05,247.95,236.95,313.1,201.05,227.9,219.0,270.2,241.0,272.35,277.2,305.65,170.4,294.7,417.15,642.65,891.9,905.4,881.2,810.1,773.9,723.1,733.6,778.6,743.3,934.85,209.5,200.0,184.95,242.0,264.55,296.4,235.35,272.25,218.95,221.95
15,A F Enterprises Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,330.0,0.0,430.0,472.7,204.5,134.65,53.9,22.05,8.66,9.72,7.32,4.9,7.29,6.93,6.27,3.8,1.23,1.02,1.96,3.39,2.93,1.69,5.01,7.01,0.0,0.0,15.21,15.1,17.95,34.05,50.9,119.95,89.9,11.75,20.27,13.83,7.56,4.94,5.0,5.49,11.14,17.98,12.92,6.7,2.75,2.55,2.12
16,A G I Greenpac Ltd.,92.95,140.9,126.4,132.7,185.7,184.6,123.3,143.2,149.15,131.55,135.05,91.15,85.85,77.6,104.5,131.45,258.35,355.75,348.25,447.5,350.05,268.15,300.0,278.25,276.1,340.5,276.15,350.45,365.05,387.55,504.45,371.2,336.95,256.8,233.85,249.95,256.8,40.65,48.7,39.2,52.5,79.5,118.95,153.5,251.0,232.05,211.0,296.3,202.7,334.2,327.3,323.75,577.9,901.8,828.65,726.1,704.35,959.35,1121.0,745.25,822.1,844.55,827.3
17,A G Ventures Ltd.,139.35,139.3,126.95,101.7,135.15,121.0,87.75,106.9,119.05,129.15,127.75,91.7,101.0,96.05,133.0,158.35,276.3,377.95,364.9,450.6,487.8,553.75,568.0,503.2,568.45,680.65,773.75,906.5,975.4,1218.4,1225.05,1029.55,968.05,976.4,1149.0,1139.5,1165.0,1009.0,1031.05,559.3,735.95,749.5,822.9,917.05,1047.85,1062.35,975.5,800.6,748.25,859.6,782.55,666.15,781.95,805.65,828.65,659.85,809.85,257.35,224.15,157.3,238.75,164.9,160.35
18,A I A Engineering Ltd.,383.1,400.6,402.7,348.05,371.95,308.3,270.9,364.45,340.45,358.3,331.5,319.75,326.85,316.1,477.55,556.45,776.55,941.25,1084.2,1245.8,1000.45,990.2,893.1,937.9,1020.35,1278.45,1294.1,1586.7,1394.55,1323.35,1546.15,1426.9,1492.85,1762.1,1679.85,1789.9,1788.15,1783.15,1650.0,1382.1,1607.05,1846.7,1967.45,2047.95,2139.75,1943.1,1876.85,1627.6,2223.55,2507.65,2566.3,2902.35,3202.5,3507.8,3695.7,3915.55,4183.25,4334.4,3393.2,3347.35,3310.0,3054.5,3325.65
19,A I Champdany Inds. Ltd.,33.05,40.5,35.95,24.65,21.8,27.55,17.05,17.0,24.15,20.0,24.7,20.5,19.9,17.3,18.45,15.6,16.3,19.4,17.8,17.0,13.95,19.55,38.95,22.45,25.0,28.1,24.45,27.25,25.05,29.35,27.95,26.45,26.05,18.3,11.9,14.19,11.28,9.91,9.9,8.08,6.36,7.11,13.05,10.28,16.0,15.97,18.17,18.25,17.9,19.3,24.65,26.59,30.83,38.5,59.47,50.36,53.41,44.63,58.0,40.28,51.84,56.22,52.9
20,A J R Infra & Tolling Ltd.,26.8,24.35,25.35,17.9,13.65,13.55,12.48,14.65,13.14,14.96,13.85,11.51,9.2,6.63,8.05,7.53,15.77,14.19,16.0,13.65,12.82,8.28,6.68,4.91,5.81,4.68,3.71,4.07,4.41,2.95,3.88,2.47,1.33,0.66,0.7,0.61,0.41,0.3,0.43,0.24,0.89,0.63,0.77,0.68,2.51,1.52,2.59,1.84,1.54,1.74,1.38,0.97,0.61,0.66,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,A K Capital Services Ltd.,331.0,600.9,721.5,423.7,309.6,221.7,164.95,166.45,156.45,161.2,189.75,155.35,130.7,111.1,131.2,122.4,275.9,232.0,230.0,232.9,281.2,227.9,239.3,232.4,244.35,233.65,285.3,390.6,512.85,559.8,514.8,407.6,358.15,351.9,329.8,329.0,310.0,281.15,278.65,182.25,210.05,269.95,320.15,308.7,430.25,472.25,418.25,437.75,419.9,419.05,487.7,427.25,503.55,719.95,760.35,912.45,1078.9,1089.75,1299.85,1027.2,1033.85,1096.0,1203.75
22,A M J Land Holdings Ltd.,27.0,25.35,23.9,21.25,19.75,17.95,14.25,16.9,15.05,14.0,14.0,11.25,10.32,10.15,12.81,11.35,16.61,13.95,15.0,23.25,29.7,28.3,50.45,19.45,15.32,17.65,20.55,19.8,21.95,24.3,30.0,22.75,31.75,20.7,20.35,20.0,16.65,17.0,19.2,14.0,19.5,18.8,25.5,22.05,30.95,37.95,33.3,30.75,25.85,27.75,27.5,21.27,25.32,31.56,40.56,33.55,42.66,49.25,66.09,45.91,65.7,53.67,56.79
23,A N S Inds. Ltd.,9.33,9.25,7.57,8.15,9.39,8.93,0.0,8.4,7.99,0.0,7.9,9.35,12.34,12.55,13.14,11.75,14.0,15.06,19.0,25.8,26.05,25.9,24.65,27.0,26.85,26.85,30.0,29.9,22.55,22.5,0.0,23.6,0.0,22.5,26.5,25.2,0.0,23.0,24.05,0.0,23.3,23.0,22.7,18.15,10.07,7.25,10.72,13.15,9.97,12.45,9.55,10.75,8.71,7.55,10.95,10.82,11.74,11.32,10.08,11.3,17.5,17.6,16.0
24,A P L Apollo Tubes Ltd.,107.5,157.45,153.8,129.25,143.15,132.1,139.7,177.5,149.6,169.3,174.9,166.4,157.05,155.0,143.85,198.15,308.9,293.5,341.05,401.3,379.1,498.0,751.0,664.75,946.25,868.75,913.55,1170.35,1549.35,1693.1,1982.25,1994.55,1663.1,1259.4,1160.6,1439.7,1497.4,1362.5,1874.5,1246.45,1559.3,2917.65,884.65,1400.55,1628.4,821.6,999.75,914.1,849.8,1036.45,1093.0,1203.8,1304.1,1622.95,1536.65,1495.2,1555.35,1584.0,1568.4,1524.5,1737.15,1686.7,1776.35
25,A S I Industries Ltd.,39.0,42.15,31.35,35.0,33.5,26.15,24.55,24.1,24.5,24.7,24.75,22.05,30.75,31.0,33.8,22.65,46.35,38.35,44.95,51.0,77.2,75.3,23.05,14.94,19.25,19.8,22.45,44.9,39.7,42.15,41.75,26.3,22.85,18.8,16.4,14.35,13.25,10.85,11.24,6.5,9.08,13.07,15.22,19.35,29.5,15.17,22.6,14.05,12.97,13.4,11.73,11.05,14.78,17.85,20.67,23.2,28.6,52.96,50.97,32.63,35.63,30.52,32.11
26,A S K Automotive Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290.7,285.0,362.65,439.4,476.15,444.85,534.85,527.3,488.6
27,A S M Technologies Ltd.,35.05,44.0,60.9,68.85,70.0,57.25,57.3,65.1,70.0,75.35,79.5,64.0,74.0,75.0,76.5,89.9,98.0,191.65,155.15,129.9,99.5,103.3,200.4,157.5,155.7,124.85,118.0,109.05,107.8,113.85,137.15,137.9,101.0,110.0,116.7,104.8,101.0,76.0,71.0,66.0,66.85,171.45,195.5,111.25,177.7,245.1,757.45,570.0,488.25,526.0,460.45,382.7,519.75,480.95,457.65,890.75,1201.65,1620.05,1362.8,1273.65,2662.8,4015.0,3476.5
28,A V T Natural Products Ltd.,94.8,89.75,116.45,111.3,266.8,378.35,280.15,359.4,37.0,38.8,35.15,26.3,27.35,18.45,18.75,21.4,40.3,48.65,38.0,27.05,32.4,30.75,36.8,28.0,31.75,37.85,30.35,39.35,40.2,39.7,59.75,36.0,31.6,27.2,26.8,26.4,24.6,22.75,31.0,23.65,39.6,45.2,48.65,45.0,70.45,81.95,77.3,130.55,94.15,99.75,106.55,79.15,91.82,81.24,91.3,83.85,85.46,87.11,75.14,54.0,65.88,72.06,68.48
29,A W L Agri Business Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,517.5,574.95,755.3,617.6,406.0,410.2,337.55,354.9,321.1,331.55,348.4,308.25,258.25,259.6,261.55,268.3
30,A Y M Syntex Ltd.,14.8,20.3,19.95,13.85,13.95,12.31,10.49,10.69,10.03,10.41,13.21,9.2,7.87,8.0,8.35,7.67,18.31,24.05,36.0,34.35,76.05,106.9,153.0,96.45,102.2,83.5,70.25,79.7,75.0,62.65,66.4,60.75,52.2,37.8,42.0,35.85,38.45,31.45,29.85,16.2,23.5,23.65,38.3,46.35,75.1,103.0,97.7,112.35,91.5,79.25,75.85,61.64,78.95,69.83,69.88,86.01,100.29,224.15,248.75,220.1,240.95,192.8,177.25
31,Aadhar Housing Finance Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,408.45,468.8,422.65,423.9,455.85,509.45,511.5
32,Aarcon Facilities Ltd.,0.0,0.0,0.0,0.0,0.0,4.98,5.48,4.24,0.0,4.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.68,5.65,0.0,0.0,0.0,5.9,6.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6,0.0,0.0,0.0,5.58,7.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.27,0.0,11.83,0.0,0.0
33,Aartech Solonics Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.75,35.5,36.4,36.45,34.5,35.0,0.0,34.0,37.0,33.8,49.35,56.45,41.2,19.95,33.45,64.0,67.0,107.6,172.3,135.55,154.1,204.45,75.33,78.81,52.46,69.79,51.87,58.52
34,Aarti Drugs Ltd.,134.3,137.05,148.1,128.0,129.05,104.9,74.25,101.85,120.0,157.5,207.7,143.25,195.1,175.85,224.7,263.4,528.85,771.45,852.55,651.75,631.15,602.95,595.3,454.5,470.95,620.5,605.15,575.55,526.5,522.0,638.8,506.65,549.5,546.5,575.2,640.45,531.1,455.2,578.7,505.8,1270.95,771.55,705.45,694.8,707.55,607.55,544.2,429.0,404.15,468.05,460.0,337.8,464.6,544.1,489.05,433.85,504.15,513.05,460.65,339.8,458.4,485.9,481.25
35,Aarti Industries Ltd.,49.15,58.7,64.8,48.8,48.25,47.5,47.2,60.45,73.15,78.55,100.95,81.45,79.85,69.15,98.9,122.55,203.55,280.25,252.9,352.7,339.5,550.75,523.35,517.4,519.55,619.45,683.15,765.75,919.1,890.4,1135.5,1144.2,1233.7,1174.45,1438.75,1573.1,1778.65,800.35,833.25,761.85,931.8,1015.4,1231.5,1316.55,871.55,929.6,1006.2,956.25,698.65,744.55,610.75,518.2,503.4,491.45,649.75,666.35,686.05,583.0,410.0,390.5,479.5,375.05,377.8
36,Aarvee Denims & Exports Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,Aarvi Encon Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,Aayush Wellness Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.12,32.75,21.85,19.9,17.8,28.45,48.0,48.55,71.5,53.4,45.75,38.8,40.8,32.2,23.7,26.1,19.35,14.8,66.1,33.6,33.65,26.15,30.2,28.2,25.8,26.25,23.45,21.45,19.5,20.15,28.0,26.6,56.46,175.75,302.25,68.93,124.95,56.1,202.9,66.72,44.45
39,Aban Offshore Ltd.,842.55,824.9,816.0,616.15,524.25,351.4,342.2,433.0,389.0,437.45,377.8,263.9,251.95,214.45,388.0,532.5,760.45,593.35,501.45,425.7,303.65,229.25,226.6,176.7,211.8,195.5,230.25,225.05,187.2,181.95,203.2,159.25,111.75,82.35,75.05,57.65,41.75,26.05,25.8,13.8,33.25,23.8,28.75,29.5,45.75,42.5,48.65,46.05,44.2,50.8,48.5,33.43,39.83,48.15,52.69,49.89,65.54,75.34,63.19,36.81,56.03,42.2,40.74
40,Abans Enterprises Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.05,0.0,0.0,0.0,0.0,15.8,0.0,19.1,3.9,3.9,3.9,5.07,0.0,0.0,5.32,0.0,0.0,9.93,20.41,22.85,40.85,48.85,72.5,267.75,172.0,179.35,169.75,164.15,113.0,127.25,94.45,103.5,102.0,93.45,94.4,154.7,169.1,190.5,180.0,158.95,115.9,131.95,166.1,40.57,27.37,32.0,31.8,33.61
41,Abate A S Inds. Ltd.,2.03,3.6,4.0,2.76,2.71,3.82,1.92,2.15,1.98,1.85,2.83,2.1,1.58,1.7,1.1,0.94,1.27,1.29,1.3,1.0,1.14,1.2,1.92,1.86,2.28,2.4,1.64,1.79,1.44,1.44,1.69,1.92,2.09,2.5,0.0,2.48,3.0,0.0,2.72,2.55,0.0,2.35,2.73,3.0,7.25,8.35,10.16,11.74,10.2,13.2,14.55,16.8,18.52,20.41,22.5,26.04,28.7,22.18,17.46,19.24,27.04,16.33,16.87
42,Abhishek Infraventures Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.75,45.25,48.55,50.0,16.1,6.69,4.85,4.34,2.73,3.25,3.64,3.3,3.19,3.7,3.6,3.17,3.12,2.4,1.56,1.55,4.56,4.17,3.29,4.2,4.62,5.0,5.21,4.0,6.35,4.34,5.34,6.24,5.99,7.04,9.29,7.19,6.97,7.19,7.05,7.32
43,Accedere Ltd.,5.85,5.1,4.43,4.41,5.46,6.55,6.62,6.76,10.45,11.75,13.03,23.9,20.0,17.2,17.0,17.95,14.0,14.5,15.25,14.0,8.65,11.7,11.9,11.9,0.0,7.76,6.04,4.54,4.32,6.55,7.18,3.77,2.6,3.42,3.59,3.4,3.4,3.44,3.78,3.95,6.67,7.0,14.0,10.93,12.2,10.5,25.96,43.9,29.0,27.7,56.9,65.0,61.98,67.99,82.0,93.58,85.5,81.0,96.52,84.29,87.0,82.0,70.89
44,Accel Ltd.,13.94,13.95,25.7,19.0,18.05,14.06,11.14,10.0,8.54,8.78,7.06,5.59,7.35,8.57,12.99,4.37,6.25,6.0,7.5,9.39,8.58,7.1,8.3,9.1,6.84,4.94,5.24,5.04,4.62,4.62,2.53,3.36,3.14,7.1,5.2,9.16,7.77,5.7,6.1,5.34,4.22,9.85,9.0,15.72,15.1,12.6,27.14,28.95,18.9,17.45,16.25,11.61,14.78,20.97,22.22,18.84,22.06,24.43,22.01,14.78,16.23,16.12,15.99
45,Accelya Solutions India Ltd.,126.95,153.25,113.95,94.7,82.35,77.8,99.35,137.8,121.1,202.0,356.05,339.35,453.85,557.35,761.4,757.35,678.25,736.25,1000.0,931.65,996.75,946.25,934.5,869.0,1139.05,1333.25,1439.15,1449.3,1322.25,1440.85,1430.65,1346.75,1167.05,975.0,938.9,916.45,864.6,816.25,1071.95,848.7,919.0,1034.5,943.1,853.25,1164.85,1264.3,1060.7,928.0,880.7,1123.3,1454.0,1219.9,1323.7,1631.2,1416.15,1676.1,1729.1,1869.1,1469.0,1269.85,1416.95,1469.95,1380.95
46,Ace Software Exports Ltd.,13.1,15.0,13.05,12.28,11.44,10.0,7.93,10.05,6.8,7.6,9.85,9.55,9.7,9.32,7.03,7.45,10.91,7.8,8.24,8.58,8.29,11.2,17.9,13.56,17.55,13.88,19.0,19.2,17.55,17.1,24.3,26.0,23.85,18.55,21.75,24.15,20.6,17.65,19.9,17.0,15.7,12.28,16.36,12.5,21.0,14.7,23.85,18.5,15.75,14.85,18.8,16.5,20.2,26.5,41.28,91.22,239.0,376.9,317.95,311.1,253.75,322.5,360.1
47,Acme Resources Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,17.1,19.6,18.05,19.9,12.41,11.55,23.58,27.4,21.9,16.5,11.45,12.75,12.0,12.0,11.5,5.49,5.35,5.35,10.25,8.8,19.75,16.0,12.89,31.38,16.2,16.0,21.2,19.4,13.85,31.1,23.15,36.72,42.84,33.33,35.85,49.08,40.0,42.31,39.0,41.9
48,Ad-Manum Finance Ltd.,23.55,26.4,31.0,29.65,29.1,27.65,23.0,25.0,28.75,30.0,27.45,27.95,36.0,43.35,35.0,26.5,26.35,29.0,24.3,25.9,31.6,25.55,27.45,27.75,25.15,29.0,26.9,26.95,26.6,29.75,38.9,28.0,27.7,30.4,25.0,21.5,16.05,17.0,12.75,10.13,13.1,14.5,16.4,16.26,21.6,23.95,33.0,37.45,36.25,43.5,52.0,49.17,51.38,46.6,48.12,55.0,75.71,130.65,97.24,60.13,74.03,66.89,66.9
