,Company Name,Jun 2010,Sep 2010,Dec 2010,Mar 2011,Jun 2011,Sep 2011,Dec 2011,Mar 2012,Jun 2012,Sep 2012,Dec 2012,Mar 2013,Jun 2013,Sep 2013,Dec 2013,Mar 2014,Jun 2014,Sep 2014,Dec 2014,Mar 2015,Jun 2015,Sep 2015,Dec 2015,Mar 2016,Jun 2016,Sep 2016,Dec 2016,Mar 2017,Jun 2017,Sep 2017,Dec 2017,Mar 2018,Jun 2018,Sep 2018,Dec 2018,Mar 2019,Jun 2019,Sep 2019,Dec 2019,Mar 2020,Jun 2020,Sep 2020,Dec 2020,Mar 2021,Jun 2021,Sep 2021,Dec 2021,Mar 2022,Jun 2022,Sep 2022,Dec 2022,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025
573,Exide Industries Ltd.,131.65,163.1,166.8,142.75,161.65,129.05,105.05,148.9,136.6,153.35,143.9,129.2,121.4,129.15,123.0,120.95,144.75,169.45,178.0,177.7,148.15,155.3,146.15,139.65,169.65,183.25,180.0,223.95,219.95,205.55,222.85,221.95,258.2,265.15,267.05,218.65,201.3,195.1,186.5,131.25,148.15,164.75,191.35,183.55,182.25,178.3,168.2,151.05,137.65,156.75,180.25,178.0,236.75,260.75,317.95,304.5,565.0,502.5,416.75,360.35,387.95,390.8,380.65
574,Expleo Solutions Ltd.,148.75,117.65,91.95,56.7,49.6,41.2,39.2,41.1,78.1,101.95,86.6,60.2,68.25,102.85,252.1,315.0,471.65,600.75,651.75,572.25,635.5,710.0,1113.75,909.0,1033.4,852.1,723.95,546.65,521.4,481.2,526.7,486.2,493.65,403.6,451.05,506.8,389.0,297.65,277.55,145.9,270.85,522.4,515.65,516.6,810.1,1001.15,1725.25,1684.8,1284.8,1234.7,1200.3,1235.8,1587.4,1388.5,1297.25,1212.65,1249.55,1292.75,1407.8,796.6,1285.5,982.4,1018.25
575,Eyantra Ventures Ltd.,0.0,0.0,0.0,0.0,0.0,0.0,16.65,16.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.25,0.0,0.0,0.0,0.0,0.0,0.0,17.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.25,18.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.3,19.65,0.0,0.0,0.0,0.0,0.0,48.85,17.6,305.2,321.3,354.2,577.05,963.9,917.65,963.9,963.9,1139.9,949.95,914.1,840.0
576,F C S Software Solutions Ltd.,3.51,2.57,1.66,1.05,0.83,0.6,0.41,0.41,0.37,0.38,0.35,0.22,0.22,0.2,0.24,0.36,0.52,0.37,0.28,0.26,0.27,0.44,0.48,0.33,0.33,0.29,0.31,0.27,0.22,0.22,0.21,0.36,0.24,0.22,0.22,0.23,0.2,0.24,0.22,0.19,0.46,0.42,0.79,0.68,2.03,1.3,5.63,3.94,2.97,2.7,2.79,2.01,2.14,2.57,4.12,3.66,4.0,3.73,3.3,2.43,2.84,2.26,2.27
577,F D C Ltd.,91.8,98.7,112.15,101.7,92.2,90.05,84.1,78.25,77.95,89.3,95.2,92.15,89.75,83.25,129.4,125.95,133.85,146.1,160.25,151.65,149.7,238.45,230.75,185.25,186.05,215.8,221.2,204.1,182.4,185.7,251.5,251.75,225.35,214.3,172.75,167.5,187.3,173.9,212.2,195.95,279.5,356.4,331.9,285.7,353.15,349.15,304.15,256.9,237.95,264.2,271.5,256.55,310.2,383.6,396.05,424.55,462.35,539.4,498.85,394.3,487.5,442.2,432.25
578,Faze Three Ltd.,14.0,16.5,14.33,12.83,11.97,11.39,13.85,16.25,9.99,7.72,7.0,4.98,3.4,4.41,11.64,7.14,10.58,14.06,15.72,8.65,12.79,11.38,14.67,15.45,24.5,30.8,59.85,134.95,118.0,98.95,103.2,68.35,63.55,44.5,46.1,48.0,39.9,35.75,43.65,27.9,38.5,43.45,64.25,74.95,122.15,320.2,285.35,314.95,339.45,325.95,284.65,315.8,403.55,366.35,445.35,356.5,421.45,448.7,441.0,346.2,604.65,483.15,511.1
579,Fedders Electric & Engg. Ltd.,94.8,94.95,91.3,80.85,73.4,64.9,53.0,53.65,50.75,51.6,44.85,32.7,29.55,29.0,34.05,43.8,75.2,66.3,67.35,64.9,72.15,71.35,101.4,71.25,74.45,74.05,65.35,83.35,68.75,67.75,75.65,61.35,29.45,17.85,14.05,7.63,4.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
580,Fedders Holding Ltd.,109.0,103.05,93.0,71.95,71.0,64.85,53.8,53.8,101.5,114.0,118.25,113.65,102.0,80.5,77.0,66.0,66.0,74.05,44.3,31.05,26.05,22.4,27.1,22.6,31.25,43.0,30.6,47.45,46.0,61.8,75.45,48.35,37.0,30.65,20.5,21.25,18.5,23.3,19.7,20.9,33.3,48.6,51.0,55.35,63.5,44.75,159.6,80.5,67.9,134.9,142.95,384.0,452.0,501.8,585.4,664.2,776.7,105.6,75.91,48.56,47.9,55.15,54.95
581,Federal Bank Ltd.,318.05,391.6,397.6,418.9,451.8,367.05,337.8,426.0,448.35,445.75,538.3,480.55,409.25,285.05,84.1,95.5,133.7,125.6,151.6,132.0,147.8,64.05,56.0,46.1,57.55,71.95,66.9,91.35,112.8,112.6,108.8,89.35,81.8,70.7,93.15,96.4,108.3,90.4,88.05,41.05,51.0,48.55,66.7,75.75,87.15,84.25,83.0,97.35,90.25,118.6,138.95,132.25,126.1,147.15,156.05,150.15,177.3,196.7,199.9,192.75,213.1,193.0,235.8
582,Federal-Mogul Goetze (India) Ltd.,131.2,162.7,179.75,202.85,267.45,234.25,208.4,271.25,223.6,202.5,207.05,205.15,202.6,197.5,195.2,182.75,257.4,286.5,408.25,429.2,364.6,369.1,360.2,324.0,342.15,460.15,493.4,549.6,546.55,493.05,526.5,420.35,414.0,399.95,495.45,560.0,533.45,543.1,658.4,315.0,389.2,427.85,311.5,281.15,319.9,284.15,215.2,265.75,283.25,327.25,316.1,304.65,371.35,360.75,360.5,321.9,442.55,443.2,373.45,324.15,548.75,506.15,466.1
583,Fermenta Biotech Ltd.,290.0,438.65,485.9,387.25,423.05,436.0,396.15,505.9,678.6,701.9,572.65,487.6,450.5,426.0,386.0,508.75,638.65,831.0,663.0,595.0,580.25,682.25,708.25,698.0,679.8,844.0,735.0,768.95,702.0,662.05,1739.0,2856.95,3385.7,781.75,1012.0,823.05,856.4,920.2,718.35,212.75,251.85,360.75,317.5,250.3,322.8,270.55,290.15,205.7,191.3,207.15,173.7,106.95,136.5,157.95,161.6,151.4,166.0,303.0,363.95,273.55,335.95,311.95,267.3
584,"Fertilisers & Chemicals, Travancore Ltd.",51.45,48.1,51.6,39.35,39.1,33.5,23.3,30.15,27.8,30.1,28.5,21.65,20.0,20.15,21.6,20.55,39.05,30.3,33.95,28.1,21.75,19.55,24.95,21.1,26.25,22.75,24.05,41.45,42.65,39.0,52.7,51.05,44.15,38.1,40.85,36.55,39.1,39.5,39.75,32.3,48.25,45.1,61.35,109.7,138.1,128.0,131.75,131.05,96.5,108.75,371.7,205.25,434.6,537.95,806.25,627.8,986.45,964.7,981.8,639.55,974.0,892.2,899.5
585,Fiberweb (India) Ltd.,14.22,12.57,9.83,8.16,5.79,6.5,4.42,6.45,7.76,6.85,7.1,8.54,7.71,8.27,8.4,6.99,9.0,9.74,10.9,8.82,13.65,15.9,24.5,20.2,60.5,110.35,174.3,352.2,317.1,295.85,305.7,115.75,74.85,54.75,42.45,32.0,17.7,15.82,15.15,10.96,23.85,29.75,31.75,27.5,43.5,43.1,47.8,38.5,35.6,36.95,36.6,32.07,30.46,32.72,33.6,30.38,44.23,41.51,62.52,38.98,50.39,43.39,43.55
586,Fiem Industries Ltd.,152.05,165.35,170.05,153.0,150.05,157.9,147.1,137.95,135.3,172.45,183.5,193.55,190.0,203.4,345.3,414.65,566.4,648.65,826.15,631.75,519.0,546.5,790.5,919.0,964.1,1102.55,1128.55,963.95,883.85,905.5,1005.3,878.3,802.6,574.1,492.55,512.5,449.0,344.35,455.05,251.7,357.5,564.05,566.6,556.55,743.6,1103.35,1131.55,900.1,1326.0,1447.35,1733.65,1564.35,1787.4,1800.8,2099.25,1140.3,1280.9,1747.6,1482.4,1406.35,1927.6,1903.3,2099.5
